１．女主人と道具屋の会話
　
録音年月　1964年6月
録音場所　話し手１の自宅

（4）　「島原見物の話」

話し手
（略号）　（性別）　（年令）　（職業）　（居住歴）
　１　　　　女　　　　60台　　　無職　　　はえぬき
　２　　　　男　　　　30台　　　道具屋　　はえぬき

解説：（3）から話題がそれていった自然な会話。

113201|２|sojakara…|ですから…
1103507|１|konaida anoo atasino otomodacia nee （２ haa） ano gozjuuneNde tookjookara nee （２ haaa） zjuuniNhodo kjahaqta… （２ haahaa） hode maa ci miNna zeNkokukara joqtara ne （２ hai） cjoodo gozjuuniNhodo aqtaN （２ hehee） hoNde nee （２ hee） de kaNkoobasuo ne （２ ee ee） tanoNdaNdesujo （２ hNN hNN） hode sono nee （２ hee） maa iroiro acikoci mawaqte （２ ee） saioni simabarae ne （２ hee） NN cjoodo sono simabarano sumijasaNo ne （２ haa sumijasaN） siqteru hitoa aqtaNde （２ eeheeee） hode ma tokubecunito juuto nakanaka mirareN〔sakai〕ni （２ aa soo desuka heehee） ano misete morote ne （２ aa soo desuka） hazimete sono sumijasaNno nakato （２ haahaa） soekara tajuusaNno nee （２ haa） ano do ano doocjuujara （２ ee ee ee） heka〔r〕a　ocjao tateharu tokojara ne （２ aa soo desukaa） ano misete mootaNdesujo|このあいだ　あのう　あたしの　お友達が　ね、あの　五十年の〔行事〕で　東京から　ねえ、十人ほど　おいでになった…　それで　みんな　全国から　集ったら　ね、ちょうど　五十人ほど　あったの。それで　ねえ、で、観光バスを　ね、頼んだんですよ。それで　その　ねえ、まあ　いろいろ　あちこち 回って　最後に　島原へ　ね、ちょうど　その　島原の　角屋さんを　ね　（２　はあ　角屋さん）　知っていらっしゃる　人が　あったので　それで　ま　特別にと　いって　なかなか　見られない〔ので〕　（２　ああ　そう　ですか）　あの、見せて　もらって　ね、（２　ああ　そう　ですか）　初めて　その、角屋さんの　なかと　それから　大夫さんの　ねえ、あの　あの　道中やら　それから　お茶を　立てる　とこやら　ね、（２　ああ　そう　ですか）　あの、見せて　もらったんですよ。
1103605|２|aa aa soo desuka|ああ　ああ　そう　ですか。
1103606|１|haa|はあ。　
1103607|２|ha nakanaka koo （１ haa） kohuuna nee （１ haa soo desu） cjoqto nee miraremaseNsi nee|は　なかなか　こう　古風な　ねえ、（１　はあ　そう　です）　ちょっと　ねえ、見られませんし　ねえ。
1103609|１|soo desu （２ haa） hosite cjoodo sono tokini ne （２ haa） anoo sonoo naNno tokiwa anoo ocja tateharu tokiwa na （２ haa） sono ko doocjuujara siharu tokiwa ne （２ he） hoNno moo tearuna ne （２ haa） ano moo sukosi watasi seejooziNjara mina kihaNnjaqtara ne （２ haahaahaa） moqto riqpana isjookato omotetara ne （２ aa soo desuka） aNmari nee （２ haa） isjoodemo hurubita keqtaina nee （２ ee） （２ aa soo desuka） a huru hinabita isjo jaqtano|そう　です。そして　ちょうど　その　ときに　ね、あのう　そのう　なんの、時は　あのう　お茶を　立てる　時は　その　道中やら　する　時は　ね　ほんの　もう　手軽な　ね　あの　もう　すこし　わたし　西洋人やら　みんな　来るのだったら　ね、もっと　立派な　衣装かと　思ってたら　ね、（２　ああ　そう　ですか）　あんまり　ね　衣装でも　古びた　おかしな　ねえ、（２　ああ　そう　ですか）　ふる、ひなびた　衣装　だったの。
1103701|２|aa soo desuka|ああ　そう　ですか。
1103702|１|hositara nee （２ ee） koNdo ano sumijasaN ikahaqta tajuusaNno tokiwa ne （２ haa） toqtemo riqpana ne （２ haa） isjoode ne （２ aa soo desuka） misete moraqta juute ne （２ naruhodo） aa juu tokomo ne （２ ee） watasiraN suruto ma atasirawa jorosijaro （２ haahaa） gaikokuziNa nee （２ eehee） minahaqta tokini ne jaqpari mosukosi nee （２ hNN） watasi nee sonoo isjoodemo a joorerusakai naNde kjoowa konai ija ko kore nee （２ ee） sjoqcjuu sjoqcjuu cukooteruto anaini jooreNnjakedo （２ aa aa） sono isjoo cukuru cjuu kotoa ima nakanaka nee|そしたら　ねえ、こんど　あの　角屋さんに　行った　大夫さんの　ときは　ね、とっても　立派な　ね、衣装で　ね、（２　ああ　そう　ですか）　見せて　もらったと　いって　ね、（２　なるほど）　ああ　いう　ところも　ね、わたしたちから　すると、まあ　わたしたちは　いいでしょう、（２　はあ　はあ）　外国人が　ねえ、見た　ときに　ね　やっぱり　もうすこし　ね、わたし　ねえ、その　衣装でも　よごれるから　なぜ　きょうは　こんなに、いや　これ　ねえ、しじゅう　しじゅう　使っていると　あんなに　よごれるんだけれど、その　衣装を　作る　という　ことが　いまは　なかなか　ねえ、　
1103711|２|sora nakanaka taiheN desu|そりゃ　なかなか　大変　です。
1103712|１|naN desukedo ne （２ hee ee ee） maa anoo soojuu kotomo （２ haa） ne atasi huqto kaNaete ne （２ aa soo desuka） kedo ma ano soremo mirarete ne （２ heehee） iq N tokubecuni ma mijo cjuutara taiheN desukedo naa|なん　ですけど　ね、まあ　あの　そういう　ことも　ね、あたし　ふっと　考えて　ね、（２　ああ　そう　ですか）　けど　まあ　あの　それも　見られて　ね、特別に　ま、見よう　といったら　大変　ですけど　ねえ。
1103716|２|soo desu soo desu|そう　です　そう　です。
1103801|１|aNtasaN goraNni narimasita|あなた　ごらんに　なりました？
1103802|２|watasimo nee （２ hN） kono siacu desitaka anoo maicuki jaqteru ne anoo kaia arimasite ne watasito ciauNdesukedo nee cureno monoa nee soede kotosiwa ano simabarano ne （１ haa） waciaija desuka waciaija cjuu anoo sumijasaNto qte moo iqkeN aru tokoa aruNdesukedo ne （１ heee） sokode sono ano jaqpasi a tajuusaNno ne （１ aa soo desuka） ocjaa arukara mini kite kurete juwaretaNdesukedo joo ikimase… joo ikimase desitakedo nee|わたしも　ねえ、この　四月　でしたか　あの　毎月　やってる　ね、あの　会が　ありまして　ね、私では　ないんですけど、ねえ、つれの　者が　ねえ、それで　ことしは　あの　島原の　ね　輪違屋　ですか、輪違屋　という　あの　角屋さんと　もう　一軒　ある　ところが　あるんですけど　ね、そこで　その　あの、やっぱり　大夫さんの　ね、（１　ああ　そう　ですか）　お茶が　あるから　見に　来て　くれって　言われたんですけど、行けませ…　行けません　でしたけど　ねえ。　 
1103809|１|soo desuka ija naa soo site naa ziqto sitete moote sizeNni…|そう　ですか。いや　そう　して　じっと　してて　もらって　自然に…
1103811|２|soo desu soo desu|そう　です　そう　です。

