１．女主人と道具屋の会話

録音年月　1964年6月
録音場所　話し手１の自宅

（2）　「おくやみ」

話し手
（略号）　　（性別）　　（年令）　　（職業）　　（居住歴）
　１　　　　　女　　　　　60台　　　　無職　　　　はえぬき
　２　　　　　男　　　　　30台　　　　道具屋　　　はえぬき

解説：演技してもらったもの。

1101301|２|koNniciwa okusaN icumo demasitekarani erai sicuree itasimasu|こんにちは　奥さん。いつも　おじゃまして　どうも　失礼　いたします。
1101616|２|aa soo desuka soraa naNdesitesu nee （１ haa） ee　moo ee （１ Nde maa） taiheN desite moo|ああ　そう　ですか　それは　何でしたんです　ね。ええ　もう　ええ　たいへん　でして　もう。
1101702|１|cjoodo sono tokini nee （２ hee ee） minasaNa  ne maa japai ima aNtatokono ucini ookina nee （２ hee ee） hoNtoni kono isia ne （２ ha） dosuNto ocite ko namia　nee （２ haa） taqte moo konani naqteru joona ne （２ haa aa aa naruhodo） toko jakeedomo （２ heehee） sokoo maa ocicuite ne （２ hee eeee） nani sena ikaN cjute （２ aa） miNnasaNkara nee iroiroto （２ naruhodo） oqsjaqte itadaite ne （２ aa soo desuka） jaqpari moo kora watasi ne （２ hN） hoNtoni moo koojuu tokini ne （２ haa） zibuNga ne jaqpari kono ocicuite atono kotomo ne （２ hee） jaqpari koo kaNaete ikana ikaN naa to juu kotomo maa… zibuNdemo nee （２ haahaa） sizukani maa sono nani simasite nee|丁度　その　時に　ね　皆さんが　ね　まあ　やっぱり　今　あなたのところの　うちに　大きな　ほんとに　この　石が　ね　ドスンと　落ちて　こう　波が　ね　立って　もう　こんなに　なってる　ような　ね、（２　はあ　ああ　ああ　なるほど）　ところ　だけども、そこを　まあ　落着いて　ね、何　しなくてはいけないと言って　皆さんから　ね、いろいろと　（２　なるほど）　おっしゃって　いただいて　ね、（２　ああ　そう　ですか）　やっぱり　もう　これ　私　ね、ほんとに　もう　こういう　時に　ね　自分が　ね　やっぱり　この　落着いて　あとの　ことも　ね、やっぱり　こう　考えて　いかなければ　いけない　なあと　いう　ことも　まあ…　自分でも　ね、静かに　まあ　その　何　しまして　ね。
1101713|２|aa soo desuka sikasi nakanaka naNdesuwa nee ee ano soojuu naNde ee nasaimasitara anoo korekara taiheN desuwa nee 〔ho〕Ntoni moo ocikaraotoside ee naN desukedo maa minasaN naN desusi （１ haa） maa kono atoa maa…|ああ　そう　ですか。しかし　なかなか　なんですわ　ね、ええ　あの　そういう　なんで、なさいましたなら　あの　これから　大変　です　ねえ。　ほんとに　もう　お力落としで　ええ　何　ですけど、まあ　皆さん　何　ですし、まあ　今後　あとが　まあ…
1101802|１|maa nee anoo hee cjaaNto nee atomo o ite kuremasu koto desusi （２ heehee） ma koNdowa nee （２ hee） maa watasiwa korekara maa （２ hee） sonoo aNmari sono zibuNno maa tacibate kotoo （２ haahaa） kaNaete ne|まあ　ねえ、あの　ちゃんと　ね　あとも　いて　くれます　こと　ですし、ま　今度は　ね　まあ　私は　これから　まあ　その　あんまり　その　自分の　まあ　立場ということを　考えて　ね。
1101806|２|soo desu nee|そう　です　ね。　
1101807|１|hai wakai hitoni maa makasite （２ hee） maa cjaNto ano nani sitaito omoimasu|はい、若い　人に　まあ　まかせて　まあ　ちゃんと　あの　何　したいと　思います。
1101809|２|heehee watasimo nee （１ uN） ciqtomo zoNzimaseNdesitaNde nee cjoqto kikimasite nee biqkuri site nee ukaaqta joona wake desunode nee maa anoo…|はいはい　私も　ね　ちっとも　存じませんでしたので　ね、ちょっと　聞きまして　ね　びっくり　して　ね、伺った　ような　わけ　ですので　ね、ま　あの…
1101812|１|hee ariatoo gozaimasu maa sooju naN desukara （２ hee） mata nee （２ hee） doozo maa anoo sjuziNa orimasita tokito 　（２ hee） oNnaqsjooni （２ heehee） sosite mata doozo maa joo oidekudasaimasuto （２ hee） makotoni （２ ano moo） keqkoo jato omoimasusi… ato moo naN desu jaqpasi okutabire desusi （１ haa） atono kataa （１ ariatoo gozaimasu） maa taiheNdesusakaini ocikaraotosi nasaimaseN jooni… taiheNde gozaimasita|はい、ありがとう　ございます。まあ　そういう　何　ですから、また　ね、どうぞ　まあ　あの　主人が　おりました　時と　同じように、そして　また　ぞうぞ　まあ　よく　おいでになりますと　誠に　（２　あの　もう）　結構　だと　思いますし…　あと　もう　何　です、やっぱり　お疲れ　ですし、あとの　かたが　（１　ありがとう　ございます）　まあ　大変ですから　お力落とし　なさいません　ように…　大変で　ございました。
1101804|１|haa ariatoo gozaimasu|はあ　ありがとう　ございます。
1101805|２|a soo desuka a sora nakanaka oisoasiinoni doomo…|あ　そう　ですか。あ、それは　なかなか　お忙しいのに　どうも… 　　   
