（２）土佐のオナゴのよもやま放談

録音日時　１９６７年１月８日
録音場所　農家（高知市朝倉米田）

話し手
（略号）　（氏名）　（性別）　（生年）　（職業）　（居住歴）
　Ｋ　　　川添繁尾　　女　　明治２７年生　製米業　高知市朝倉でうまれ、２３才から                                                  １０年ぐらい神戸居住、以後朝倉　Ｓ　　　栄枝千代　　女　　大正元年生　　農業　　高知市朝倉でうまれ、１９才から                                                  ６年間香川県居住、以後朝倉
　Ｘ　　　不明

解説：　七十台と五十台との婦人が、服装・食物・家のあかり、神祭その他について、思い出を興味深く語る。マッコト・タマルカなど強調的な語いが随所にあふれ、きかぬ気の土佐人気質を反映している。
［注］この会話にはoverlapがしばしばあらわれる。意気投合した者同志が話をしていて、話が調子に乗って来るとこうした現象をおこすのは、むしろ自然の行き方かも知れない。

0502206|Ｓ|rjo:ho:no omaN hoNto･ asi~ga taite ata･ ti~ga dete itakaqta koto: oboetju:~ga|両方の　あなた　ほんとに　足が　ずいぶん　わたしは　血が　出て、痛かった　ことを　覚えているが。
0502208|Ｋ|so:jo ano seki~da~ga hora u:Nto atui ka:~djaqtaki horja|そうよ、あの　せきだが　ほら　うんと　厚い　皮だったから　ほら。
0502210|Ｓ|so:jo so:jo|そうよ、そうよ。
0502211|Ｋ|hoNde ano: horja kiribusajo kiribusajo kiribusao tukimakuqturo［26］|それで　あのう　ほら　かかとよ、かかとよ、かかとを　徹底的についたろう。|［26］「突きに突いたろう」とも訳せる。このmakuruはkakimakuru（書）hukimakuru（吹）nomimakuru（飲）dukimakuru（づく〔しかる〕）などとproductiveである。これも一種の強調現象である。
0502213|Ｓ|arewa omaN tuqtuite tuite rjo:ho:o do~dai hoNto: ti~ga dete are itakaqta koto ima oboetju:ga tigo:ta moNzejo|あれは　あなた　つっついて　ついて、両方を　まあ　ほんとに　血が　出て、あれ　痛かった　ことを　今　覚えているが　違った　ものだよ。
0502216|Ｋ|se:kara omaNra do:zejo atera~ga eNsokuni iku tokinjane: omaN jakimesijo horja|それから　あなたなど　どうなの、わたしらが　遠足に　行く　ときにはねえ、あなた　焼飯よ、ほら。
0502302|Ｓ|so: so:|そう　そう
0502303|Ｋ|keNdo meqso ti~ga:Nkajo hoNnara omaNra:to atera:to|けれど　あまり　違わないかね、それなら　あなたたちと　わたしたちと。
0502305|Ｓ|ano siroi hurosikie jakimesjo o:te tikuwao|あの　白い　ふろしきへ　焼飯を　負って　竹輪を
0502306|Ｋ|huta:tu huta:tu|二つ　二つ。
0502307|Ｓ|tikuwao irete jo: kosiraete moro:te ita koto~djaqta~ga|竹輪を　入れて、よく　こしらえて　もらって、行った　ことだったが。
