（ロ）食糧事情のこと

0406314|Ｋ|hoNdemo e:ni jas:wana kusurijade （Ｍ ne:） jas: taberu kodenakerana zjo:buni ne:enadene|それでも　いいよ、野菜はね　薬だから。（Ｍ　ネー）　野菜を　食べる　子でなければ　丈夫では　ないそうだからね。
0406401|Ａ|naNzja sjaNa omahaN 《笑》 hoNtoni jasa:zja stocu ju:to hutacumeni|何だか　しらないが　あなた　《笑》。本当に　「野菜野菜」と、何か　言うと　二言めには。
0406403|Ｋ|imano iNsutaNtobaqkadewa akaNto jas: tabena|今の　インスタントばかりでは　いけないと、野菜を　食べなければ。
0406405|Ａ|haraguwe:wa i:wana|腹ぐあいは　いいよね。
0406406|Ｋ|imano moNwa mui tabezu cjoboqto moqte:ne:deto omoqte muiwa kusurijadeto omoqte cjoboqto iretemo bucubucu surutara naNtaraqte ia waru naqtataraqtena|今の　者は　麦を　食べない、少し、もったいなからと　思って、麦は　薬だからと　思って　少し　入れても、「ブツブツ　する」とか　何とか言って、「胃が　悪く　なった」とか言ってね
0406410|Ｍ|hoNto watasi mui ireteto ju:to ireN iwaqseru kono sto|本当？　私が　「麦を　入れて」と　言うと　「入れない」と言われる、この　人。
0406412|Ｋ|muiwa ireta ho:ana: （Ａ cjoqto irenaNna） gohaNmo oisi:si|麦は　入れた　方がねー　（Ａ　少し　入れなければ）　御飯も　おいしいし。
0406414|Ａ|hjakueNa: koqteqtena:|百円分　買ってきてねー。
0406415|Ｋ|huNde watasiN dokomo jo: tamani kaqte kurukedo hjakueNno hukuro cjoqtomo aNbajo: simaeta koto araheN miNna ijaarude jaqpa ireN ho:ana|それで　私の　所も　よく、時たま、買って　くるけれど、百円分の　袋が　少しも、ぐあいよく　なくなった　事が　ない。皆　いやがるので　やはり　入れない　方がね。
0406503|Ｍ|imawa mui kaqte kuruno|今は　麦を　買って　くるの？
0406504|Ａ|mo: da:remo|もう　誰も。
0406505|Ｋ|ima kjo:sjucu site maudeqsjaro tori orusina: huNde cjoboqtocucu mukasiwa iqpjo:cu cuitejana cuite maqte tabetakedona: mo: soNnani tabeheNmoN|今は　供出　して　しまうでしょう。それに鶏が　居るしねー、それで　少しずつ。昔は　一俵ずつ　ついてだね、ついて　もらって　食べたけれどねー、もう　そんなに　食べないもの。
0406509|Ｍ|mui cukuraheN|麦は　作らない？
0406510|Ｋ|mui cukuqtewa arukedona bi:rumuia|麦　作っては　あるけれどね、ビール麦が。
0406511|Ｍ|a: bi:rumui|あー、ビール麦。
0406512|Ａ|mukasiwa niwarikarana: iretaNzjawana miNna|昔は　二割からねー、入れたんだよね、みんな。
0406513|Ｍ|imamo ireja i:jaN|今も　入れれば　いいじゃないの？
0406514|Ｋ|ho:ja imamo ireruto i:Njakedona: sorea akaNana: bocubocu suruqtara ia waru naqtateraqte 《笑》 tabeheNde ze:takuN naqta|そうだ、今も　入れれば　いいんだけれどねー、それが　だめだがねー。「ボツボツ　する」とか　「胃が　悪く　なった」とか言って　《笑》　食べないから　ぜいたくに　なった。
0406601|Ａ|zjakedona: okomedemona: aside cukunoa hoNto asiN darutena: ba:cjaNta kita zibuN okome cukeqte iwastara okomeo aside toNko: toNko:te naNe: bo: cukete:te cuitajaro hoNtoni ere:mona: kini cukamaqtoqte nakanaka|だけどねー、お米でもねー　足で　つくのが、本当に　足が　だるくてねー、おばあさん達が　来た　頃は　「お米を　つけ」と　言われたら、お米を　足で　トンコー　トンコーと　長い　棒　つけておいて　ついたでしょう。本当に　つらいものねー、木に　つかまっていて、なかなか…
0406607|Ｍ|mo: zibuNde cuita|もう　自分で　ついた？
